Date,Open,High,Low,Close,Volume,Adj Close
20191122,180.13,180.47,178.35,179.47,28888,179.47
20191125,180.4,181.35,180.11,180.97,32301,180.97
20191126,181.46,182.92,181.21,182.55,35887,182.55
20191127,183.0,184.54,182.25,184.37,35276,184.37
20191129,183.93,184.85,183.36,184.51,19248,184.51
20191202,184.24,184.37,179.87,181.79,43391,181.79
20191203,179.9,182.14,179.66,181.9,29811,181.9
20191204,182.66,182.8,180.47,180.6,46129,180.6
20191205,181.25,182.03,180.07,181.89,29870,181.89
20191206,182.74,183.28,181.34,182.17,44046,182.17
20191209,181.9,183.26,181.3,182.92,33109,182.92
20191210,182.55,183.15,181.9,182.26,28528,182.26
20191211,183.07,183.08,181.19,182.01,27797,182.01
20191212,181.66,183.33,180.83,182.64,38273,182.64
20191213,182.5,185.52,182.04,185.14,43112,185.14
20191216,186.33,186.82,185.76,186.24,35483,186.24
20191217,186.5,186.78,184.1,185.52,37276,185.52
20191218,185.52,186.44,184.9,184.9,30127,184.9
20191219,184.5,186.58,184.5,186.54,26407,186.54
20191220,187.6,188.17,186.3,188.0,46936,188.0
20191223,188.07,188.41,187.0,187.08,26047,187.08
20191224,187.1,188.02,186.91,187.57,9987,187.57
20191226,187.89,189.18,187.7,189.16,24287,189.16
20191227,189.74,189.89,188.47,189.39,39808,189.39
20191230,189.31,189.48,187.12,187.83,24056,187.83
20191231,187.06,188.0,186.54,187.9,26808,187.9
20200102,189.0,191.14,188.72,191.12,42746,191.12
20200103,188.41,190.96,187.92,189.6,29959,189.6
20200106,188.0,189.21,187.16,189.19,36731,189.19
20200107,189.59,190.1,188.6,188.69,27678,188.69
20200108,189.49,192.5,188.8,191.92,35560,191.92
20200109,193.0,193.93,192.52,193.25,28535,193.25
20200110,193.5,194.57,193.11,193.77,29827,193.77
20200113,194.44,195.6,194.28,195.33,33849,195.33
20200114,196.74,196.95,195.14,196.05,36774,196.05
20200115,197.0,200.15,196.32,199.8,51966,199.8
20200116,201.0,201.5,199.78,200.95,50993,200.95
20200117,201.76,204.75,199.98,204.7,61386,204.7
20200121,204.13,208.39,203.8,207.29,76979,207.29
20200122,207.51,210.13,207.29,207.9,43864,207.9
20200123,207.88,208.4,205.3,206.52,50516,206.52
20200124,207.42,207.99,204.21,205.0,48682,205.0
20200127,200.0,203.33,199.1,201.69,47352,201.69
20200128,202.39,203.84,201.78,202.85,47551,202.85
20200129,204.3,205.92,202.51,204.86,41159,204.86
