Date,Open,High,Low,Close,Volume,Adj Close
20191122,45.82,46.38,45.75,45.87,97130,45.87
20191125,46.1,47.55,45.94,47.52,154802,47.52
20191126,47.65,47.67,46.54,46.715,99508,46.715
20191127,47.35,48.27,47.11,48.16,133246,48.16
20191129,47.89,47.95,47.44,47.51,58253,47.51
20191202,47.58,47.95,46.34,46.39,135612,46.39
20191203,45.12,45.4,44.55,45.23,166476,45.23
20191204,46.18,46.6,45.73,46.3,141896,46.3
20191205,46.67,47.4,46.25,46.62,104835,46.62
20191206,47.44,48.33,47.32,47.93,167922,47.93
20191209,47.55,47.77,46.43,46.45,138516,46.45
20191210,47.04,47.92,46.72,47.46,151725,47.46
20191211,47.75,49.34,47.69,49.26,183426,49.26
20191212,49.38,51.33,49.32,50.97,321907,50.97
20191213,51.02,52.32,50.7,51.2,250975,51.2
20191216,52.7,54.3,52.69,52.94,333671,52.94
20191217,53.99,54.0,52.65,53.0,228654,53.0
20191218,53.0,53.72,52.37,53.04,274438,53.04
20191219,55.03,55.29,53.9,54.53,494607,54.53
20191220,54.82,55.93,54.63,55.06,295069,55.06
20191223,55.26,56.11,55.14,55.4,200299,55.4
20191224,55.45,55.64,55.03,55.42,75792,55.42
20191226,55.45,55.65,54.91,55.105,121882,55.105
20191227,55.24,55.53,53.88,54.03,146163,54.03
20191230,53.77,53.88,52.66,53.21,130631,53.21
20191231,52.95,53.9,52.78,53.78,110487,53.78
20200102,54.84,55.49,54.51,55.39,171786,55.39
20200103,54.29,55.31,54.0,54.53,136565,54.53
20200106,53.76,54.14,53.16,53.565,145971,53.565
20200107,55.38,58.4,55.36,58.27,423873,58.27
20200108,58.09,58.39,57.06,57.52,235008,57.52
20200109,58.32,58.48,56.48,57.31,187905,57.31
20200110,57.47,57.5,56.27,56.67,155642,56.67
20200113,57.04,57.78,56.86,57.45,134330,57.45
20200114,57.8,58.3,56.46,57.52,232782,57.52
20200115,57.03,57.12,55.84,56.17,180104,56.17
20200116,56.77,57.84,56.76,57.68,177174,57.68
20200117,58.01,58.12,57.01,57.66,165054,57.66
20200121,57.37,59.18,57.27,58.97,196126,58.97
20200122,59.5,60.25,58.85,59.17,198805,59.17
20200123,60.33,60.56,59.03,59.2,212323,59.2
20200124,60.03,60.03,57.24,57.76,230806,57.76
20200127,55.19,55.99,54.62,55.41,231010,55.41
20200128,56.25,56.78,55.24,56.47,154705,56.47
20200129,56.0,57.19,55.29,55.3,165924,55.3
20200130,54.18,55.07,53.22,55.03,264850,55.03
20200131,55.15,55.2,52.7,53.09,244658,53.09
20200203,53.33,54.11,53.0,53.78,160866,53.78
20200204,55.24,56.02,54.94,55.5,160735,55.5
20200205,57.02,57.26,55.82,56.77,159004,56.77
20200206,57.85,59.17,57.41,58.68,198386,58.68
20200207,57.97,58.0,56.77,56.88,172480,56.88
20200210,56.39,57.34,56.2,57.33,117951,57.33
20200211,57.88,58.84,56.33,57.25,241142,57.25
20200212,59.04,61.19,58.9,59.27,415171,59.27
20200213,59.03,60.63,58.86,59.33,202737,59.33
20200214,60.12,60.56,58.26,58.5,173564,58.5
20200218,57.12,58.04,56.62,57.75,176012,57.75
20200219,58.6,60.25,58.56,59.99,190685,59.99
20200220,59.88,59.99,57.69,59.0,177709,59.0
20200221,58.55,58.73,55.89,56.99,236170,56.99
20200224,53.06,55.46,52.61,55.01,273361,55.01
20200225,54.84,55.45,51.55,52.1,362712,52.1
20200226,52.74,54.27,51.88,52.37,232310,52.37
20200227,50.63,52.85,49.99,50.58,317911,50.58
20200228,48.63,52.92,48.39,52.56,331199,52.56
20200302,53.22,54.69,52.1,54.59,274369,54.59
20200303,54.61,55.4,51.1,51.8,324103,51.8
20200304,53.02,55.38,52.21,55.29,240725,55.29
20200305,53.46,55.61,53.34,53.72,220978,53.72
20200306,52.19,53.19,50.0,51.47,259628,51.47
20200309,45.5,48.6,44.92,45.97,260601,45.97
